"YEAR","NEWCOURSECODE","NEWCOURSETITLE","STUDYLEVEL","COMMUTELENGTH","ACCOMMODATIONTYPE","CAMPUSPOSTCODE","AVERAGEMODULEMARK","PERCENTAGEATTENDANCE","DEGREETYPE","DEGREECLASS"
"2017/18","BSNUT01F","BSc Human Nutrition FT","Level 4",5.55,"Commuter","W1W 6XH",48,36.25,"BSc","3rd"
"2016/17","BSPSY02F","BSc Psychology FT","Level 4",1.76,"Other inc. Private Halls","W1W 6XH",43,50.68,"BSc","3rd"
"2017/18","BSPSY02F","BSc Psychology FT","Level 5",2.38,"Other inc. Private Halls","W1W 6XH",48,62.5,"BSc","3rd"
"2017/18","BABSM06F","BA Business Management FT","Level 6",6.07,"UoW Halls","NW1 5LS",57,7.89,"BA","2:ii"
"2016/17","BAFAS02F","BA Fashion Design FT","Level 6",215.37,"Unknown","HA1 3TP",70,0,"BA","1st"
"2016/17","BSACC01F","BSc Accounting FT","Level 6",5.26,"Commuter","NW1 5LS",69,55.13,"BSc","2:i"
"2016/17","BLLAW02F","LLB Law FT","Level 4",3.58,"Commuter","W1B 2HW",24,17.27,"LLB","3rd"
"2016/17","BLLAW02F","LLB Law FT","Level 4",7.26,"Commuter","W1B 2HW",53,68.69,"LLB","2:ii"
"2017/18","BLLAW02F","LLB Law FT","Level 5",10.43,"Unknown","W1B 2HW",49,46.43,"LLB","3rd"
"2016/17","BSNUT01F","BSc Human Nutrition FT","Level 6",5.11,"Commuter","W1W 6XH",48,24.64,"BSc","3rd"
"2016/17","BSBMS01F","BSc Biomedical Sciences FT","Level 5",6.38,"Other inc. Private Halls","W1W 6XH",79,82.19,"BSc","1st"
"2017/18","BAPIR02F","BA International Relations FT","Level 4",1.55,"Other inc. Private Halls","W1B 2HW",58,63.77,"BA","2:ii"
"2016/17","BAENG04F","BA Creative Writing and English Literature FT","Level 6",3.04,"Other inc. Private Halls","W1B 2HW",73,34.21,"BA","1st"
"2016/17","BABSM06F","BA Business Management FT","Level 6",6.61,"Other inc. Private Halls","NW1 5LS",73,53.95,"BA","1st"
"2017/18","BSFIN01F","BSc Finance FT","Level 4",6.07,"UoW Halls","NW1 5LS",46,33.78,"BSc","3rd"
"2017/18","BLLAW02F","LLB Law FT","Level 5",5.98,"Other inc. Private Halls","W1B 2HW",51,50.67,"LLB","2:ii"
"2017/18","BAPHT02F","BA Photography FT","Level 4",0.59,"UoW Halls","HA1 3TP",58,20.45,"BA","2:ii"
"2017/18","BECSS01F","BEng Software Engineering FT","Level 4",6.51,"Commuter","W1W 6XH",73,80,"BEng","1st"
"2016/17","BLLAW02F","LLB Law FT","Level 4",5.96,"Other inc. Private Halls","W1B 2HW",51,27.1,"LLB","2:ii"
"2017/18","BLLAW02F","LLB Law FT","Level 5",5.96,"Other inc. Private Halls","W1B 2HW",48,27.03,"LLB","3rd"
"2016/17","BSACC01F","BSc Accounting FT","Level 5",7.88,"Commuter","NW1 5LS",32,17.98,"BSc","3rd"
"2017/18","BABSM06F","BA Business Management FT","Level 5",1.07,"Other inc. Private Halls","NW1 5LS",57,72.37,"BA","2:ii"
"2016/17","BAPHT02F","BA Photography FT","Level 4",0.59,"UoW Halls","HA1 3TP",40,22.73,"BA","3rd"
"2016/17","BAMRK03F","BA Marketing Management FT","Level 5",3.03,"Other inc. Private Halls","NW1 5LS",66,77.03,"BA","2:i"
"2017/18","BAMRK03F","BA Marketing Management FT","Level 6",3.54,"Other inc. Private Halls","NW1 5LS",68,64,"BA","2:i"
"2016/17","BSPOC06F","BSc Quantity Surveying and Commercial Management FT","Level 4",2.35,"Other inc. Private Halls","NW1 5LS",59,60,"BSc","2:ii"
"2017/18","BSPOC06F","BSc Quantity Surveying and Commercial Management FT","Level 5",2.35,"Other inc. Private Halls","NW1 5LS",69,76.47,"BSc","2:i"
"2016/17","BAPHT02F","BA Photography FT","Level 5",0.4,"Other inc. Private Halls","HA1 3TP",63,10.38,"BA","2:i"
"2017/18","BAPHT02F","BA Photography FT","Level 6",0.4,"Other inc. Private Halls","HA1 3TP",68,0,"BA","2:i"
"2016/17","BSELE01F","BSc Electronic Engineering FT","Level 5",3.49,"Other inc. Private Halls","W1W 6XH",52,35.29,"BSc","2:ii"
"2017/18","BSELE01F","BSc Electronic Engineering FT","Level 6",3.49,"Other inc. Private Halls","W1W 6XH",50,32.91,"BSc","2:ii"
"2016/17","BABSM07F","BA International Business FT","Level 5",2.65,"Other inc. Private Halls","NW1 5LS",71,86.49,"BA","1st"
"2017/18","BLLAW03F","LLB Law with French Law FT","Level 4",6.54,"Other inc. Private Halls","W1B 2HW",59,66.22,"LLB","2:ii"
"2016/17","BLLAW02F","LLB Law FT","Level 6",2.62,"Other inc. Private Halls","W1B 2HW",56,25.33,"LLB","2:ii"
"2016/17","BLLAW02F","LLB Law FT","Level 4",3.06,"Commuter","W1B 2HW",53,71.13,"LLB","2:ii"
"2017/18","BLLAW02F","LLB Law FT","Level 5",3.06,"Commuter","W1B 2HW",55,63.41,"LLB","2:ii"
"2016/17","BAMRK02F","BA Marketing Communications FT","Level 6",2.55,"Other inc. Private Halls","NW1 5LS",58,73.08,"BA","2:ii"
"2017/18","BABSM06F","BA Business Management FT","Level 4",3.15,"Other inc. Private Halls","NW1 5LS",45,11.9,"BA","3rd"
"2017/18","BSCON03F","BSc Computer Systems Engineering FT","Level 4",7.45,"Commuter","W1W 6XH",49,71.19,"BSc","3rd"
"2017/18","BSACC01F","BSc Accounting FT","Level 6",12.43,"Other inc. Private Halls","NW1 5LS",71,43.06,"BSc","1st"
"2017/18","BAADS03F","BA Illustration and Visual Communication FT","Level 4",6.33,"Other inc. Private Halls","HA1 3TP",59,29.17,"BA","2:ii"
"2016/17","BSBMS04F","BSc Honours Biomedical Sciences (Sandwich) FT","Level 6",9.33,"Commuter","W1W 6XH",60,39.06,"BSc","2:i"
"2016/17","BSELE01F","BSc Electronic Engineering FT","Level 4",9.79,"Unknown","W1W 6XH",57,66.41,"BSc","2:ii"
"2017/18","BSELE01F","BSc Electronic Engineering FT","Level 5",9.79,"Unknown","W1W 6XH",58,64.08,"BSc","2:ii"
"2016/17","BSPSY02F","BSc Psychology FT","Level 5",2.97,"Other inc. Private Halls","W1W 6XH",62,73.24,"BSc","2:i"
"2017/18","BSPSY02F","BSc Psychology FT","Level 6",2.97,"Other inc. Private Halls","W1W 6XH",67,68.18,"BSc","2:i"
"2016/17","BSACC01F","BSc Accounting FT","Level 5",2.9,"Other inc. Private Halls","NW1 5LS",60,60,"BSc","2:i"
"2017/18","BSACC01F","BSc Accounting FT","Level 6",1.23,"Other inc. Private Halls","NW1 5LS",51,47.3,"BSc","2:ii"
"2017/18","BAMRK02F","BA Marketing Communications FT","Level 4",1.68,"Other inc. Private Halls","NW1 5LS",59,72.34,"BA","2:ii"
"2016/17","BSELE01F","BSc Electronic Engineering FT","Level 5",8.42,"Commuter","W1W 6XH",46,28.44,"BSc","3rd"
"2016/17","BAADS04F","BA Fine Art Mixed Media FT","Level 5",4.92,"Other inc. Private Halls","HA1 3TP",59,19.05,"BA","2:ii"
"2017/18","BAADS04F","BA Fine Art Mixed Media FT","Level 6",8.04,"Commuter","HA1 3TP",0,0,"BA","3rd"
"2016/17","BACRI01F","BA Criminology FT","Level 5",7.56,"Commuter","W1B 2HW",61,90.38,"BA","2:i"
"2017/18","BACRI01F","BA Criminology FT","Level 6",7.56,"Commuter","W1B 2HW",66,66.67,"BA","2:i"
"2016/17","BAFAS02F","BA Fashion Design FT","Level 4",0.59,"UoW Halls","HA1 3TP",66,0.83,"BA","2:i"
"2017/18","BAFAS02F","BA Fashion Design FT","Level 5",6.19,"Other inc. Private Halls","HA1 3TP",70,0,"BA","1st"
"2016/17","BSBMS04F","BSc Honours Biomedical Sciences (Sandwich) FT","Level 6",8.22,"Commuter","W1W 6XH",57,52.73,"BSc","2:ii"
"2016/17","BABSM06F","BA Business Management FT","Level 4",5.31,"Commuter","NW1 5LS",67,85.14,"BA","2:i"
"2017/18","BABSM06F","BA Business Management FT","Level 5",5.31,"Commuter","NW1 5LS",62,72.73,"BA","2:i"
"2017/18","BSBMS01F","BSc Biomedical Sciences FT","Level 4",5.52,"Other inc. Private Halls","W1W 6XH",54,38.16,"BSc","2:ii"
"2017/18","BSPSY02F","BSc Psychology FT","Level 4",10.67,"Commuter","W1W 6XH",58,85.71,"BSc","2:ii"
"2016/17","BECSS01F","BEng Software Engineering FT","Level 6",9.59,"Commuter","W1W 6XH",58,1.01,"BEng","2:ii"
"2016/17","BSCSS02F","BSc Computer Science FT","Level 4",4.14,"Commuter","W1W 6XH",76,74.32,"BSc","1st"
"2017/18","BSCSS02F","BSc Computer Science FT","Level 5",4.14,"Commuter","W1W 6XH",69,30.88,"BSc","2:i"
"2017/18","BLLAW02F","LLB Law FT","Level 4",6.66,"UoW Halls","W1B 2HW",47,52.05,"LLB","3rd"
"2017/18","BABSM07F","BA International Business FT","Level 6",4.98,"Other inc. Private Halls","NW1 5LS",66,73.61,"BA","2:i"
"2016/17","BABSM06F","BA Business Management FT","Level 6",7.75,"Commuter","NW1 5LS",69,39.8,"BA","2:i"
"2016/17","BSPSY01F","BSc Cognitive and Clinical Neuroscience FT","Level 5",3.48,"Commuter","W1W 6XH",0,16.67,"BSc","3rd"
"2016/17","BABSM06F","BA Business Management FT","Level 6",5.28,"Other inc. Private Halls","NW1 5LS",69,82.43,"BA","2:i"
"2017/18","BALAN07F","BA Translation FT","Level 4",5.83,"Commuter","W1B 2HW",65,87.76,"BA","2:i"
"2017/18","BABSM06F","BA Business Management FT","Level 5",1.19,"Other inc. Private Halls","NW1 5LS",47,45.45,"BA","3rd"
"2016/17","BAMRK01F","BA International Marketing FT","Level 4",2.6,"Other inc. Private Halls","NW1 5LS",70,68.49,"BA","1st"
"2017/18","BAMRK01F","BA International Marketing FT","Level 5",2.68,"Other inc. Private Halls","NW1 5LS",69,57.65,"BA","2:i"
"2016/17","BAJMC02F","BA Journalism FT","Level 5",52.03,"Unknown","HA1 3TP",58,64.21,"BA","2:ii"
"2017/18","BAJMC02F","BA Journalism FT","Level 6",11.49,"Other inc. Private Halls","HA1 3TP",66,10.91,"BA","2:i"
"2017/18","BSCSS02F","BSc Computer Science FT","Level 4",10.58,"Commuter","W1W 6XH",50,32.22,"BSc","2:ii"
"2016/17","BAJMC01F","BA Digital Media and Communication FT","Level 4",0.59,"UoW Halls","HA1 3TP",63,70.83,"BA","2:i"
"2017/18","BAJMC01F","BA Digital Media and Communication FT","Level 5",0.59,"UoW Halls","HA1 3TP",67,66.67,"BA","2:i"
"2017/18","BSPSY02F","BSc Psychology FT","Level 4",2.14,"Commuter","W1W 6XH",65,77.14,"BSc","2:i"
"2016/17","BSECO01F","BSc Business Economics FT","Level 6",6.25,"Commuter","NW1 5LS",64,68.83,"BSc","2:i"
"2017/18","BAARC02F","BA Interior Architecture FT","Level 4",8.87,"Other inc. Private Halls","NW1 5LS",21,19.78,"BA","3rd"
"2017/18","BAMUS01F","BA Commercial Music FT","Level 6",15.32,"Unknown","HA1 3TP",66,18.18,"BA","2:i"
"2016/17","BABSM07F","BA International Business FT","Level 5",6.17,"Other inc. Private Halls","NW1 5LS",56,49.57,"BA","2:ii"
"2016/17","BABSM06F","BA Business Management FT","Level 6",2.89,"Other inc. Private Halls","NW1 5LS",63,75,"BA","2:i"
"2016/17","BABSM06F","BA Business Management FT","Level 6",4.7,"Other inc. Private Halls","NW1 5LS",52,43.37,"BA","2:ii"
"2016/17","BACRI01F","BA Criminology FT","Level 6",3.66,"Commuter","W1B 2HW",62,62.5,"BA","2:i"
"2017/18","BAARC01F","BA Architecture FT","Level 4",7.64,"Commuter","NW1 5LS",57,28.04,"BA","2:ii"
"2017/18","BAFAS03F","BA Fashion Merchandise Management FT","Level 4",10.53,"Other inc. Private Halls","HA1 3TP",17,2.86,"BA","3rd"
"2017/18","BAPIR01F","BA International Relations and Development FT","Level 4",6.1,"Commuter","W1B 2HW",61,65.67,"BA","2:i"
"2016/17","BMMUS01F","BMus Commercial Music Performance FT","Level 4",0.59,"UoW Halls","HA1 3TP",49,23.81,"BMus","3rd"
"2017/18","BMMUS01F","BMus Commercial Music Performance FT","Level 5",1.97,"Unknown","HA1 3TP",57,11.76,"BMus","2:ii"
"2017/18","BSPSY02F","BSc Psychology FT","Level 4",5.79,"Other inc. Private Halls","W1W 6XH",52,50,"BSc","2:ii"
"2016/17","BAJMC05F","BA Radio and Digital Production FT","Level 5",20.61,"Other inc. Private Halls","HA1 3TP",16,36.67,"BA","3rd"
"2016/17","BLLAW02F","LLB Law FT","Level 5",8.63,"Unknown","W1B 2HW",61,25.53,"LLB","2:i"
"2017/18","BLLAW02F","LLB Law FT","Level 6",9.93,"Unknown","W1B 2HW",65,12,"LLB","2:i"
"2017/18","BSPOC01F","BSc Architectural Technology FT","Level 4",15.67,"Commuter","NW1 5LS",58,70,"BSc","2:ii"
"2016/17","BABSM06F","BA Business Management FT","Level 5",11.08,"Commuter","NW1 5LS",56,51.16,"BA","2:ii"
"2016/17","BSMGM01F","BSc Computer Games Development FT","Level 4",6.64,"UoW Halls","W1W 6XH",55,77.01,"BSc","2:ii"
"2017/18","BSMGM01F","BSc Computer Games Development FT","Level 5",6.69,"Other inc. Private Halls","W1W 6XH",59,60,"BSc","2:ii"
"2016/17","BSCSS02F","BSc Computer Science FT","Level 6",2.91,"Commuter","W1W 6XH",36,57.65,"BSc","3rd"
"2016/17","BAPIR03F","BA Politics and International Relations FT","Level 6",12.54,"Other inc. Private Halls","W1B 2HW",67,49.21,"BA","2:i"
"2016/17","BEELE01F","BEng Electronic Engineering FT","Level 4",4.12,"Commuter","W1W 6XH",20,43.18,"BEng","3rd"
"2016/17","BSCSS02F","BSc Computer Science FT","Level 4",6.64,"UoW Halls","W1W 6XH",68,83.78,"BSc","2:i"
"2017/18","BSCSS02F","BSc Computer Science FT","Level 5",6.56,"UoW Halls","W1W 6XH",58,81.16,"BSc","2:ii"
"2016/17","BSPSY02F","BSc Psychology FT","Level 4",10.32,"Commuter","W1W 6XH",49,70.83,"BSc","3rd"
"2017/18","BSPSY02F","BSc Psychology FT","Level 5",10.32,"Commuter","W1W 6XH",56,65.22,"BSc","2:ii"
"2016/17","BSBIS01F","BSc Business Information Systems FT","Level 4",2.78,"Commuter","W1W 6XH",58,93.33,"BSc","2:ii"
"2017/18","BSBIS01F","BSc Business Information Systems FT","Level 5",2.78,"Commuter","W1W 6XH",70,85.29,"BSc","1st"
"2016/17","BEELE03F","BEng Electronic and Electrical Engineering FT","Level 4",4.69,"Commuter","W1W 6XH",57,71.65,"BEng","2:ii"
"2017/18","BLLAW02F","LLB Law FT","Level 4",12.22,"Unknown","W1B 2HW",54,66.67,"LLB","2:ii"
"2016/17","BSCSS02F","BSc Computer Science FT","Level 6",3.71,"Commuter","W1W 6XH",73,28.81,"BSc","1st"
"2016/17","BSELE01F","BSc Electronic Engineering FT","Level 6",10.25,"Unknown","W1W 6XH",44,45.05,"BSc","3rd"
"2017/18","BAPIR03F","BA Politics and International Relations FT","Level 6",1.63,"Other inc. Private Halls","W1B 2HW",63,58.9,"BA","2:i"
"2016/17","BAMRK02F","BA Marketing Communications FT","Level 6",3.78,"Other inc. Private Halls","NW1 5LS",65,73.53,"BA","2:i"
"2016/17","BAFAS01F","BA Fashion Buying Management FT","Level 5",4.68,"Other inc. Private Halls","HA1 3TP",62,50,"BA","2:i"
"2017/18","BAPHT01F","BA Contemporary Media Practice FT","Level 4",0.59,"UoW Halls","HA1 3TP",65,31.11,"BA","2:i"
"2016/17","BABSM06F","BA Business Management FT","Level 5",2.25,"Other inc. Private Halls","NW1 5LS",53,38.14,"BA","2:ii"
"2017/18","BABSM06F","BA Business Management FT","Level 6",2.05,"Other inc. Private Halls","NW1 5LS",55,58.33,"BA","2:ii"
"2016/17","BSPOC05F","BSc Property and Planning FT","Level 6",9.93,"Other inc. Private Halls","NW1 5LS",25,40.32,"BSc","3rd"
"2016/17","BAPIR01F","BA International Relations and Development FT","Level 6",1.85,"Other inc. Private Halls","W1B 2HW",70,64.52,"BA","1st"
"2016/17","BAPHT01F","BA Contemporary Media Practice FT","Level 5",4.34,"Other inc. Private Halls","HA1 3TP",71,20.99,"BA","1st"
"2017/18","BAPHT01F","BA Contemporary Media Practice FT","Level 6",35.91,"Unknown","HA1 3TP",74,16,"BA","1st"
"2017/18","BLLAW02F","LLB Law FT","Level 4",12.34,"Commuter","W1B 2HW",61,70.27,"LLB","2:i"
"2017/18","BSCPM01F","BSc Chinese Medicine Acupuncture FT","Level 5",10.67,"Commuter","W1W 6XH",9,32.47,"BSc","3rd"
"2016/17","BAPIR02F","BA International Relations FT","Level 5",6.73,"Other inc. Private Halls","W1B 2HW",71,37.68,"BA","1st"
"2016/17","BAPHT02F","BA Photography FT","Level 5",0.59,"UoW Halls","HA1 3TP",65,22.34,"BA","2:i"
"2016/17","BATFM01F","BA Film FT","Level 6",2.24,"UoW Halls","HA1 3TP",67,1.45,"BA","2:i"
"2016/17","BSBMS01F","BSc Biomedical Sciences FT","Level 4",3.2,"Commuter","W1W 6XH",73,90.48,"BSc","1st"
"2017/18","BSBMS01F","BSc Biomedical Sciences FT","Level 5",3.2,"Commuter","W1W 6XH",80,81.43,"BSc","1st"
"2016/17","BABSM06F","BA Business Management FT","Level 6",4.8,"Other inc. Private Halls","NW1 5LS",58,51.65,"BA","2:ii"
"2016/17","BABSM06F","BA Business Management FT","Level 4",0.53,"Other inc. Private Halls","NW1 5LS",58,66.22,"BA","2:ii"
"2017/18","BAPHT01F","BA Contemporary Media Practice FT","Level 4",2.41,"Other inc. Private Halls","HA1 3TP",67,44.68,"BA","2:i"
"2017/18","BAARC01F","BA Architecture FT","Level 6",5.04,"Other inc. Private Halls","NW1 5LS",61,7.06,"BA","2:i"
"2016/17","BSPSY01F","BSc Cognitive and Clinical Neuroscience FT","Level 5",1.69,"Other inc. Private Halls","W1W 6XH",68,63.75,"BSc","2:i"
"2016/17","BLLAW02F","LLB Law FT","Level 6",11.1,"Commuter","W1B 2HW",59,30.3,"LLB","2:ii"
"2017/18","BSCSS02F","BSc Computer Science FT","Level 4",6.39,"Other inc. Private Halls","W1W 6XH",59,75,"BSc","2:ii"
"2016/17","BLLAW02F","LLB Law FT","Level 6",8.53,"Commuter","W1B 2HW",70,64.29,"LLB","1st"
"2016/17","BAARC02F","BA Interior Architecture FT","Level 5",3.1,"UoW Halls","NW1 5LS",61,33.33,"BA","2:i"
"2017/18","BAARC02F","BA Interior Architecture FT","Level 6",3.82,"Other inc. Private Halls","NW1 5LS",59,15.49,"BA","2:ii"
"2016/17","BSBIS01F","BSc Business Information Systems FT","Level 6",1.39,"Other inc. Private Halls","W1W 6XH",48,28.12,"BSc","3rd"
"2017/18","BAPIR03F","BA Politics and International Relations FT","Level 6",7.1,"Other inc. Private Halls","W1B 2HW",72,73.81,"BA","1st"
"2016/17","BABSM06F","BA Business Management FT","Level 5",9.38,"Commuter","NW1 5LS",64,33.33,"BA","2:i"
"2017/18","BABSM06F","BA Business Management FT","Level 6",9.38,"Commuter","NW1 5LS",62,48,"BA","2:i"
"2016/17","BAPIR03F","BA Politics and International Relations FT","Level 6",10.9,"Other inc. Private Halls","W1B 2HW",59,39.19,"BA","2:ii"
"2016/17","BABSM06F","BA Business Management FT","Level 5",10.01,"Other inc. Private Halls","NW1 5LS",17,15.89,"BA","3rd"
"2017/18","BAJMC02F","BA Journalism FT","Level 4",0.59,"UoW Halls","HA1 3TP",70,41.98,"BA","1st"
"2017/18","BAFAS03F","BA Fashion Merchandise Management FT","Level 4",0.74,"Unknown","HA1 3TP",51,47.14,"BA","2:ii"
"2016/17","BSBMS04F","BSc Honours Biomedical Sciences (Sandwich) FT","Level 6",3.13,"Commuter","W1W 6XH",69,54.79,"BSc","2:i"
"2016/17","BSCON01F","BSc Computer Networks and Communications FT","Level 5",8.81,"Other inc. Private Halls","W1W 6XH",44,36.28,"BSc","3rd"
"2017/18","BSCON01F","BSc Computer Networks and Communications FT","Level 6",8.81,"Other inc. Private Halls","W1W 6XH",44,26.42,"BSc","3rd"
"2016/17","BSPOC05F","BSc Property and Planning FT","Level 5",0.46,"Other inc. Private Halls","NW1 5LS",48,55.74,"BSc","3rd"
"2017/18","BSPOC05F","BSc Property and Planning FT","Level 6",3.63,"Other inc. Private Halls","NW1 5LS",67,59.18,"BSc","2:i"
"2016/17","BSECO01F","BSc Business Economics FT","Level 4",6.07,"UoW Halls","NW1 5LS",56,85.71,"BSc","2:ii"
"2017/18","BSECO01F","BSc Business Economics FT","Level 5",2.77,"Other inc. Private Halls","NW1 5LS",52,64,"BSc","2:ii"
"2017/18","BSPSY02F","BSc Psychology FT","Level 5",7.83,"Commuter","W1W 6XH",53,46.48,"BSc","2:ii"
"2016/17","BAHRM01F","BA Human Resource Management FT","Level 4",5.17,"Commuter","NW1 5LS",56,95.83,"BA","2:ii"
"2017/18","BAHRM01F","BA Human Resource Management FT","Level 5",5.17,"Commuter","NW1 5LS",49,87.67,"BA","3rd"
"2017/18","BABSM06F","BA Business Management FT","Level 4",0.17,"Other inc. Private Halls","NW1 5LS",56,47.3,"BA","2:ii"
"2017/18","BAADS03F","BA Illustration and Visual Communication FT","Level 4",0.59,"UoW Halls","HA1 3TP",54,26.83,"BA","2:ii"
"2017/18","BSMGM01F","BSc Computer Games Development FT","Level 4",7.54,"Commuter","W1W 6XH",43,54.95,"BSc","3rd"
"2016/17","BSCON02F","BSc Computer Network Security FT","Level 5",7.81,"Commuter","W1W 6XH",55,44.74,"BSc","2:ii"
"2017/18","BSCON02F","BSc Computer Network Security FT","Level 6",7.81,"Commuter","W1W 6XH",50,40.22,"BSc","2:ii"
"2016/17","BLLAW02F","LLB Law FT","Level 4",11.74,"Commuter","W1B 2HW",62,57.94,"LLB","2:i"
"2017/18","BLLAW02F","LLB Law FT","Level 5",11.74,"Commuter","W1B 2HW",65,69.86,"LLB","2:i"
"2016/17","BABSM06F","BA Business Management FT","Level 6",4.68,"Other inc. Private Halls","NW1 5LS",57,41.56,"BA","2:ii"
"2016/17","BAENG07F","BA English Literature FT","Level 6",20.98,"Unknown","W1B 2HW",64,57.69,"BA","2:i"
"2016/17","BSCSS02F","BSc Computer Science FT","Level 4",7.96,"Commuter","W1W 6XH",54,80,"BSc","2:ii"
"2017/18","BSCSS02F","BSc Computer Science FT","Level 5",7.96,"Commuter","W1W 6XH",46,26.39,"BSc","3rd"
"2017/18","BAADS04F","BA Fine Art Mixed Media FT","Level 5",8.5,"Commuter","HA1 3TP",56,23.43,"BA","2:ii"
"2016/17","BAMRK01F","BA International Marketing FT","Level 4",2.38,"Other inc. Private Halls","NW1 5LS",67,80.72,"BA","2:i"
"2017/18","BAMRK01F","BA International Marketing FT","Level 5",2.38,"Other inc. Private Halls","NW1 5LS",67,75.29,"BA","2:i"
"2017/18","BAFAS03F","BA Fashion Merchandise Management FT","Level 4",0.59,"UoW Halls","HA1 3TP",56,72.86,"BA","2:ii"
"2016/17","BAPIR03F","BA Politics and International Relations FT","Level 6",7.58,"Other inc. Private Halls","W1B 2HW",0,3.9,"BA","3rd"
"2016/17","BAARC02F","BA Interior Architecture FT","Level 4",11.1,"Commuter","NW1 5LS",71,68.75,"BA","1st"
"2017/18","BAARC02F","BA Interior Architecture FT","Level 5",11.1,"Commuter","NW1 5LS",73,31.75,"BA","1st"
"2016/17","BAMRK02F","BA Marketing Communications FT","Level 5",0.24,"Other inc. Private Halls","NW1 5LS",48,47.69,"BA","3rd"
"2017/18","BAMRK02F","BA Marketing Communications FT","Level 6",0.24,"Other inc. Private Halls","NW1 5LS",57,43.53,"BA","2:ii"
"2016/17","BSBMS01F","BSc Biomedical Sciences FT","Level 4",3.76,"Other inc. Private Halls","W1W 6XH",61,82.56,"BSc","2:i"
"2017/18","BSBMS01F","BSc Biomedical Sciences FT","Level 5",3.76,"Other inc. Private Halls","W1W 6XH",58,80.95,"BSc","2:ii"
"2016/17","BABSM12F","BA Entrepreneurship FT","Level 4",2.19,"Commuter","NW1 5LS",59,48.65,"BA","2:ii"
"2016/17","BATOE01F","BA Tourism and Events Management FT","Level 5",5.46,"Commuter","NW1 5LS",68,46.99,"BA","2:i"
"2017/18","BATOE01F","BA Tourism and Events Management FT","Level 6",5.46,"Commuter","NW1 5LS",70,42.65,"BA","1st"
"2017/18","BSACC01F","BSc Accounting FT","Level 4",7.32,"Commuter","NW1 5LS",66,70.67,"BSc","2:i"
"2017/18","BABSM06F","BA Business Management FT","Level 4",4.56,"Other inc. Private Halls","NW1 5LS",71,88.89,"BA","1st"
"2016/17","BLLAW02F","LLB Law FT","Level 6",6.15,"Other inc. Private Halls","W1B 2HW",63,40.21,"LLB","2:i"
"2016/17","BAPIR03F","BA Politics and International Relations FT","Level 4",5.94,"Commuter","W1B 2HW",59,37.18,"BA","2:ii"
"2017/18","BAPIR03F","BA Politics and International Relations FT","Level 5",5.94,"Commuter","W1B 2HW",66,37.7,"BA","2:i"
"2017/18","BAFAS06F","BA Fashion Marketing and Promotion FT","Level 4",2.41,"Other inc. Private Halls","HA1 3TP",60,12.63,"BA","2:i"
"2016/17","BSBMS04F","BSc Honours Biomedical Sciences (Sandwich) FT","Level 4",9.21,"Unknown","W1W 6XH",55,38.54,"BSc","2:ii"
"2017/18","BSBMS04F","BSc Honours Biomedical Sciences (Sandwich) FT","Level 5",9.21,"Unknown","W1W 6XH",47,24.39,"BSc","3rd"
"2016/17","BAADS02F","BA Graphic Communication Design FT","Level 6",39.38,"Unknown","HA1 3TP",61,35.29,"BA","2:i"
"2016/17","BLLAW02F","LLB Law FT","Level 6",3.33,"Other inc. Private Halls","W1B 2HW",53,15.07,"LLB","2:ii"
"2016/17","BABSM06F","BA Business Management FT","Level 4",1.88,"Other inc. Private Halls","NW1 5LS",67,85.33,"BA","2:i"
"2017/18","BABSM06F","BA Business Management FT","Level 5",1.88,"Other inc. Private Halls","NW1 5LS",51,80.77,"BA","2:ii"
"2016/17","BAJMC02F","BA Journalism FT","Level 5",2.12,"Other inc. Private Halls","HA1 3TP",65,49.41,"BA","2:i"
"2017/18","BAJMC02F","BA Journalism FT","Level 6",12.81,"Commuter","HA1 3TP",69,12.5,"BA","2:i"
"2016/17","BAJMC05F","BA Radio and Digital Production FT","Level 4",2.22,"UoW Halls","HA1 3TP",40,33.33,"BA","3rd"
"2016/17","BSNUT01F","BSc Human Nutrition FT","Level 4",5.23,"Commuter","W1W 6XH",30,33.67,"BSc","3rd"
"2017/18","BSCSS02F","BSc Computer Science FT","Level 5",7.96,"Commuter","W1W 6XH",62,30.43,"BSc","2:i"
"2016/17","BAJMC01F","BA Digital Media and Communication FT","Level 5",2.22,"UoW Halls","HA1 3TP",54,23.33,"BA","2:ii"
"2017/18","BAJMC01F","BA Digital Media and Communication FT","Level 6",2.22,"UoW Halls","HA1 3TP",52,31.48,"BA","2:ii"
"2016/17","BAJMC01F","BA Digital Media and Communication FT","Level 6",2.24,"UoW Halls","HA1 3TP",54,49.09,"BA","2:ii"
"2016/17","BABSM07F","BA International Business FT","Level 6",7.1,"Other inc. Private Halls","NW1 5LS",65,75,"BA","2:i"
"2017/18","BABSM06F","BA Business Management FT","Level 4",6.07,"Other inc. Private Halls","NW1 5LS",49,78.08,"BA","3rd"
"2016/17","BAFAS01F","BA Fashion Buying Management FT","Level 4",2.22,"UoW Halls","HA1 3TP",54,19.74,"BA","2:ii"
"2017/18","BAFAS01F","BA Fashion Buying Management FT","Level 5",2.22,"Other inc. Private Halls","HA1 3TP",53,27.69,"BA","2:ii"
"2016/17","BSPSY02F","BSc Psychology FT","Level 6",13.95,"Commuter","W1W 6XH",63,12.31,"BSc","2:i"
