"YEAR","NEWCOURSECODE","NEWCOURSETITLE","STUDYLEVEL","COMMUTELENGTH","ACCOMMODATIONTYPE","CAMPUSPOSTCODE","AVERAGEMODULEMARK","PERCENTAGEATTENDANCE","DEGREETYPE","DEGREECLASS"
"2017/18","BATFM01F","BA Film FT","Level 4",0.59,"UoW Halls","HA1 3TP",63,39.78,"BA","2:i"
"2016/17","BABSM06F","BA Business Management FT","Level 6",46.45,"Unknown","NW1 5LS",48,15.29,"BA","3rd"
"2016/17","BSPSY01F","BSc Cognitive and Clinical Neuroscience FT","Level 5",9.56,"Commuter","W1W 6XH",52,50.85,"BSc","2:ii"
"2017/18","BSPSY01F","BSc Cognitive and Clinical Neuroscience FT","Level 6",9.56,"Commuter","W1W 6XH",58,32.31,"BSc","2:ii"
"2017/18","BSPSY02F","BSc Psychology FT","Level 4",6.56,"Commuter","W1W 6XH",58,61.97,"BSc","2:ii"
"2017/18","BAFAS06F","BA Fashion Marketing and Promotion FT","Level 4",12.1,"Other inc. Private Halls","HA1 3TP",43,31.25,"BA","3rd"
"2017/18","BATFM01F","BA Film FT","Level 4",0.59,"UoW Halls","HA1 3TP",66,31.18,"BA","2:i"
"2017/18","BSPOC07F","BSc Real Estate FT","Level 4",17.18,"Commuter","NW1 5LS",48,31.37,"BSc","3rd"
"2017/18","BSBMS01F","BSc Biomedical Sciences FT","Level 4",10,"Unknown","W1W 6XH",49,59.26,"BSc","3rd"
"2017/18","BAFAS02F","BA Fashion Design FT","Level 4",2.41,"Other inc. Private Halls","HA1 3TP",57,8.33,"BA","2:ii"
"2016/17","BAADS04F","BA Fine Art Mixed Media FT","Level 4",0.59,"UoW Halls","HA1 3TP",57,45.37,"BA","2:ii"
"2017/18","BAADS04F","BA Fine Art Mixed Media FT","Level 5",2.13,"Other inc. Private Halls","HA1 3TP",54,17.71,"BA","2:ii"
"2017/18","BLLAW02F","LLB Law FT","Level 4",13.5,"Commuter","W1B 2HW",50,18.6,"LLB","2:ii"
"2016/17","BAARC02F","BA Interior Architecture FT","Level 4",5.16,"Other inc. Private Halls","NW1 5LS",52,65.62,"BA","2:ii"
"2017/18","BAARC02F","BA Interior Architecture FT","Level 5",5.16,"Other inc. Private Halls","NW1 5LS",50,17.46,"BA","2:ii"
"2016/17","BAARC01F","BA Architecture FT","Level 4",12.31,"Commuter","NW1 5LS",46,50,"BA","3rd"
"2017/18","BAENG02F","BA English Literature and Language FT","Level 4",7.72,"Commuter","W1B 2HW",66,75.61,"BA","2:i"
"2016/17","BAARC02F","BA Interior Architecture FT","Level 4",6.07,"UoW Halls","NW1 5LS",58,65.62,"BA","2:ii"
"2017/18","BAARC02F","BA Interior Architecture FT","Level 5",153.85,"Unknown","NW1 5LS",62,46.03,"BA","2:i"
"2016/17","BSACC01F","BSc Accounting FT","Level 5",6.46,"Commuter","NW1 5LS",74,60,"BSc","1st"
"2017/18","BSFIN01F","BSc Finance FT","Level 4",56.41,"Unknown","NW1 5LS",69,82.14,"BSc","2:i"
"2016/17","BABSM06F","BA Business Management FT","Level 6",2.48,"Other inc. Private Halls","NW1 5LS",57,46.48,"BA","2:ii"
"2016/17","BAENG05F","BA English Literature and History FT","Level 6",0.74,"Other inc. Private Halls","W1B 2HW",58,47.54,"BA","2:ii"
"2016/17","BAPIR04F","BA Politics FT","Level 6",5.13,"Commuter","W1B 2HW",54,16.13,"BA","2:ii"
"2017/18","BAHIS03F","BA History FT","Level 4",11.1,"Commuter","W1B 2HW",19,50.75,"BA","3rd"
"2016/17","BSACC01F","BSc Accounting FT","Level 5",19.04,"Commuter","NW1 5LS",50,70.11,"BSc","2:ii"
"2016/17","BATOE01F","BA Tourism and Events Management FT","Level 5",6.63,"Other inc. Private Halls","NW1 5LS",50,25.35,"BA","2:ii"
"2016/17","BAJMC06F","BA Television Production FT","Level 6",13.39,"Other inc. Private Halls","HA1 3TP",71,32.05,"BA","1st"
"2016/17","BAPHT02F","BA Photography FT","Level 5",3.34,"Commuter","HA1 3TP",65,35.79,"BA","2:i"
"2017/18","BAPHT02F","BA Photography FT","Level 6",3.34,"Commuter","HA1 3TP",64,8.33,"BA","2:i"
